IMMIG NISB GENDER ES3G06B Freq
1 1 1 1 34
2 1 1 1 8
3 1 1 1 7
1 2 1 1 40
2 2 1 1 4
3 2 1 1 3
1 3 1 1 36
2 3 1 1 3
3 3 1 1 4
1 4 1 1 44
2 4 1 1 3
3 4 1 1 3
1 1 2 1 37
2 1 2 1 11
3 1 2 1 6
1 2 2 1 19
2 2 2 1 6
3 2 2 1 3
1 3 2 1 29
2 3 2 1 3
3 3 2 1 4
1 4 2 1 33
2 4 2 1 0
3 4 2 1 3
1 1 1 2 133
2 1 1 2 26
3 1 1 2 27
1 2 1 2 151
2 2 1 2 7
3 2 1 2 9
1 3 1 2 205
2 3 1 2 6
3 3 1 2 8
1 4 1 2 197
2 4 1 2 5
3 4 1 2 2
1 1 2 2 112
2 1 2 2 34
3 1 2 2 23
1 2 2 2 125
2 2 2 2 14
3 2 2 2 10
1 3 2 2 175
2 3 2 2 9
3 3 2 2 10
1 4 2 2 160
2 4 2 2 5
3 4 2 2 6
1 1 1 3 71
2 1 1 3 8
3 1 1 3 6
1 2 1 3 73
2 2 1 3 3
3 2 1 3 7
1 3 1 3 123
2 3 1 3 8
3 3 1 3 5
1 4 1 3 89
2 4 1 3 3
3 4 1 3 6
1 1 2 3 81
2 1 2 3 24
3 1 2 3 13
1 2 2 3 79
2 2 2 3 3
3 2 2 3 4
1 3 2 3 129
2 3 2 3 6
3 3 2 3 3
1 4 2 3 96
2 4 2 3 2
3 4 2 3 1
1 1 1 4 9
2 1 1 4 2
3 1 1 4 2
1 2 1 4 22
2 2 1 4 1
3 2 1 4 0
1 3 1 4 19
2 3 1 4 1
3 3 1 4 1
1 4 1 4 25
2 4 1 4 1
3 4 1 4 0
1 1 2 4 8
2 1 2 4 2
3 1 2 4 3
1 2 2 4 11
2 2 2 4 3
3 2 2 4 1
1 3 2 4 15
2 3 2 4 1
3 3 2 4 0
1 4 2 4 24
2 4 2 4 0
3 4 2 4 0
