"lhs","op","rhs","block","level","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y","rhs1"
"Benev_w","=~","iphlppl_r",1,1,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"iphlppl_r"
"Benev_w","=~","iplylfr_r",1,1,0.732,0.0505464478672862,14.4769983361759,0,0.632691624307995,0.830830059040619,0.706,0.0493642097417591,14.3052792824878,0,0.609416733696038,0.802920880134296,"iplylfr_r"
"Unive_w","=~","ipeqopt_r",1,1,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"ipeqopt_r"
"Unive_w","=~","ipudrst_r",1,1,0.861,0.0376404911713542,22.8657475288407,0,0.786903960929489,0.934451975041993,0.839,0.0350364626859984,23.952939117517,0,0.770556052600636,0.907896462621113,"ipudrst_r"
"Unive_w","=~","impenv_r",1,1,0.748,0.0382886122762401,19.5486666248062,0,0.673447015835229,0.823535617994126,0.723,0.0438294351916125,16.4938164032379,0,0.637010542669779,0.808818771546365,"impenv_r"
"STrasc_w","=~","Unive_w",1,1,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"Unive_w"
"STrasc_w","=~","Benev_w",1,1,NA,0,NA,NA,1,1,NA,0,NA,NA,1,1,"Benev_w"
"STrasc_w","~","agea",1,1,NA,0.000693647928184895,0.738225951449788,0.460377155294309,-0.000847456055437751,0.00187159385894869,NA,0.000601309549019537,-1.41166596985287,0.158048337855415,-0.00202739328733677,0.000329696831939861,"Age (10 years increment)"
"STrasc_w","~","gndrD",1,1,0.188,0.0146323219268281,12.8439239111531,0,0.159257605484898,0.216615253458456,0.193,0.0168314593285818,11.4522996801537,0,0.159769862193967,0.225747970376509,"Gender (Female / Male)"
"STrasc_w","~","eisced2",1,1,0.109,0.0213499135211412,5.12594706982884,2.96045775227682e-07,0.0675934650803114,0.151283588229274,0.084,0.017198732953022,4.86793700972591,1.12769259685841e-06,0.0500134514947632,0.117431245830054,"Highest level of education, (Upper secondary or vocational / Less than Upper secondary)"
"STrasc_w","~","eisced3",1,1,0.165,0.0297663358919853,5.54480781881058,2.94277207046889e-08,0.106707665691209,0.223389558291235,0.135,0.024297084848821,5.55155575928082,2.83138372747516e-08,0.0872652100932038,0.18250803255921,"Highest level of education, (Bachelor or higher / Less than Upper secondary)"
