"lhs","op","rhs","block","group","label.x","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","label.y","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"Benev","=~","iphlppl_r","Austria",1,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Benev","=~","iplylfr_r","Austria",1,".p2.",0.862,0.0136103318005572,63.3673732108657,0,0.835775214582893,0.889126734876357,".p2.",0.883,0.01317319860059,67.02073984456,0,0.857058521512515,0.908696511149215
"Unive","=~","ipeqopt_r","Austria",1,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Unive","=~","ipudrst_r","Austria",1,".p4.",1.08,0.0204775822701508,52.7385860900557,0,1.0398234117306,1.1200940592105,".p4.",1.131,0.0208663609263025,54.1889305020469,0,1.08982846616207,1.17162309797
"Unive","=~","impenv_r","Austria",1,".p5.",0.951,0.0192213744019469,49.4902300996379,0,0.913597040422466,0.988943443544818,".p5.",1.003,0.0195562210628974,51.3059374028638,0,0.965020764732597,1.04167974264656
"Benev","~~","Unive","Austria",1,"",0.463,0.0266877230951309,17.3598131991902,0,0.410986911547354,0.515600863739023,"",0.41,0.0319911841745153,12.8034808397944,0,0.346896944815903,0.472300082425579
"iphlppl_r","~~","iphlppl_r","Austria",1,"",0.555,0.0383687587204696,14.4648247682755,0,0.479795986244206,0.630198756691461,"",0.541,0.029761931962438,18.1906503563571,0,0.483056583501688,0.599721213015108
"iplylfr_r","~~","iplylfr_r","Austria",1,"",0.502,0.030418620266108,16.5046258763342,0,0.442428546985417,0.56166734734736,"",0.398,0.024261115111294,16.3942056545115,0,0.350190798699414,0.445292622385247
"ipeqopt_r","~~","ipeqopt_r","Austria",1,"",0.713,0.0469471703260755,15.1847683839764,0,0.620867144669371,0.804896670699722,"",0.695,0.0344404625856429,20.1667700749527,0,0.627050823960911,0.76205495651843
"ipudrst_r","~~","ipudrst_r","Austria",1,"",0.74,0.0484921738724976,15.2700774414096,0,0.64543633601319,0.835522164657489,"",0.715,0.0354898280248735,20.156299954514,0,0.645784834257194,0.784902403749738
"impenv_r","~~","impenv_r","Austria",1,"",0.665,0.0367899896354682,18.0857909663399,0,0.593269007523768,0.737483116878007,"",0.505,0.026854788736572,18.8016551601281,0,0.452280058487006,0.557548895959233
"Benev","~~","Benev","Austria",1,"",0.587,0.0403923751442598,14.5285484035816,0,0.507674976886225,0.666010177951785,"",0.428,0.0399909971295574,10.6972982848164,0,0.349414710922333,0.506176539081887
"Unive","~~","Unive","Austria",1,"",0.469,0.031689020464205,14.7965294875424,0,0.406778186914749,0.530996864545138,"",0.382,0.0313984306607559,12.1551126380005,0,0.320111668071778,0.443191254604097
"iphlppl_r","~1","","Austria",1,".p14.",4.863,0.0233792526338243,208.02464031078,0,4.81763812673841,4.90928311303392,".p14.",5.023,0.0191662324090617,262.05587402781,0,4.98505866053572,5.06018891101789
"iplylfr_r","~1","","Austria",1,".p15.",5.114,0.0202368439501724,252.688485447536,0,5.0739539627041,5.15328093331029,".p15.",5.256,0.0168331722318731,312.225861052608,0,5.22275928302339,5.28874410566345
"ipeqopt_r","~1","","Austria",1,".p16.",4.793,0.0213526151768782,224.48100676568,0,4.75140619526334,4.83510690870819,".p16.",4.928,0.0179134163745963,275.083095621639,0,4.89256837854903,4.96278768041758
