"lhs","op","rhs","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"Benev","=~","iphlppl_r",1,0,NA,NA,1,1,1,0,NA,NA,1,1
"Benev","=~","iplylfr_r",0.837596464167739,0.0157420267877955,53.2076635022061,0,0.806742658619996,0.868450269715483,0.855400516906504,0.0146617669628043,58.3422529546802,0,0.826663981709688,0.884137052103319
"Unive","=~","ipeqopt_r",1,0,NA,NA,1,1,1,0,NA,NA,1,1
"Unive","=~","ipudrst_r",1.10711935776717,0.0227257110631426,48.7165992162391,0,1.06257778256035,1.15166093297399,1.14140730340531,0.0222432682823743,51.3147298731172,0,1.0978112986734,1.18500330813723
"Unive","=~","impenv_r",0.920045549532742,0.021326905204509,43.1401340564979,0,0.878245583430204,0.961845515635279,0.970856850690876,0.0206354345641819,47.0480448410835,0,0.930412142139746,1.01130155924201
"Benev","~~","Unive",0.374500335327657,0.0085077862753256,44.0185405707461,0,0.357825380639855,0.39117529001546,0.343579338441137,0.00774605589560506,44.3553910624471,0,0.328397347863517,0.358761329018757
"iphlppl_r","~~","iphlppl_r",0.475430876164236,0.0102881657919269,46.2114322202414,0,0.455266441745083,0.49559531058339,0.487204069629674,0.00969464336971859,50.2549759748219,0,0.468202917782066,0.506205221477283
"iplylfr_r","~~","iplylfr_r",0.467634975068793,0.00919588412803713,50.8526389151676,0,0.449611373371836,0.485658576765749,0.450943388512534,0.00862046500270751,52.3107962703755,0,0.434047587577239,0.467839189447829
"ipeqopt_r","~~","ipeqopt_r",0.801726886955583,0.0135554146640915,59.1444014678039,0,0.775158762418458,0.828295011492709,0.811610655106307,0.0124788939308753,65.0386692604397,0,0.787152472434896,0.836068837777719
"ipudrst_r","~~","ipudrst_r",0.659896851353883,0.012119240693195,54.4503461940828,0,0.636143576075249,0.683650126632517,0.669008836501037,0.011346802952564,58.960117602982,0,0.646769511374339,0.691248161627735
"impenv_r","~~","impenv_r",0.770877243627289,0.0128446732808846,60.0153251678661,0,0.745702146603571,0.796052340651007,0.694796446114371,0.0105921421921899,65.5954606261497,0,0.674036228898552,0.71555666333019
"Benev","~~","Benev",0.493601198684428,0.0120614247683355,40.9239545215475,0,0.469961240536251,0.517241156832605,0.451033999097387,0.0109955372209692,41.0197328273543,0,0.429483142153618,0.472584856041156
"Unive","~~","Unive",0.351854774149968,0.0118152399776326,29.7797399643225,0,0.32869732932511,0.375012218974825,0.304048808079782,0.00991717764896261,30.6588042326323,0,0.284611497059529,0.323486119100034
"iphlppl_r","~1","",4.80770753950797,0.00671941101780398,715.495379992279,0,4.79453773591575,4.82087734310018,4.84783930783514,0.00631167653521466,768.074739063012,0,4.83546864914405,4.86020996652622
"iplylfr_r","~1","",5.06214244826864,0.00647033751685892,782.361420108128,0,5.04946081976778,5.0748240767695,5.10522551904664,0.00573311305186925,890.480524779136,0,5.09398882394568,5.1164622141476
"ipeqopt_r","~1","",4.79745806957345,0.00804951149721898,595.993691198642,0,4.78168131694576,4.81323482220114,4.82550507625963,0.00685319223889484,704.125159202859,0,4.81207306629226,4.83893708622699
"ipudrst_r","~1","",4.64161592365013,0.0071141626064868,652.447263352941,0,4.62767242116126,4.65555942613901,4.6657475548185,0.00671995830388433,694.311979900465,0,4.65257667856528,4.67891843107173
"impenv_r","~1","",4.82955495416814,0.00732612964799412,659.223244225613,0,4.815196003912,4.84391390442427,5.00719779690158,0.00643378122273572,778.26671805487,0,4.99458781742061,5.01980777638255
"Benev","~1","",0,0,NA,NA,0,0,0,0,NA,NA,0,0
"Unive","~1","",0,0,NA,NA,0,0,0,0,NA,NA,0,0
